FICHIER :;c:\Users\labo_psi\Desktop\Echelon_10deg_H.eposacq
Date :;26/03/2026
Heure :;13:15:01

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en POSITION avec échelon de 10.0 °.
128 mesures avec période de 10.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en POSITION : Echelon de 10.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 Réponse :
 Ecart de position : -0.18° (-4 qc)
 1er dépassement :  36.7 % à 200.0 ms
 Temps de réponse à 5% : 470.0 ms

MESURES :
Index;Temps;;Consigne de Position;Position Axe;
;ms;;qc;qc;
         0;       0,0;;         9;        -2;
         1;      10,0;;       103;        -2;
         2;      20,0;;       196;         6;
         3;      30,0;;       228;        19;
         4;      40,0;;       228;        36;
         5;      50,0;;       228;        55;
         6;      60,0;;       228;        78;
         7;      70,0;;       228;       103;
         8;      80,0;;       228;       130;
         9;      90,0;;       228;       159;
        10;     100,0;;       228;       188;
        11;     110,0;;       228;       214;
        12;     120,0;;       228;       236;
        13;     130,0;;       228;       256;
        14;     140,0;;       228;       273;
        15;     150,0;;       228;       285;
        16;     160,0;;       228;       295;
        17;     170,0;;       228;       301;
        18;     180,0;;       228;       305;
        19;     190,0;;       228;       306;
        20;     200,0;;       228;       307;
        21;     210,0;;       228;       307;
        22;     220,0;;       228;       307;
        23;     230,0;;       228;       307;
        24;     240,0;;       228;       305;
        25;     250,0;;       228;       302;
        26;     260,0;;       228;       298;
        27;     270,0;;       228;       294;
        28;     280,0;;       228;       291;
        29;     290,0;;       228;       287;
        30;     300,0;;       228;       284;
        31;     310,0;;       228;       279;
        32;     320,0;;       228;       275;
        33;     330,0;;       228;       271;
        34;     340,0;;       228;       268;
        35;     350,0;;       228;       264;
        36;     360,0;;       228;       260;
        37;     370,0;;       228;       257;
        38;     380,0;;       228;       254;
        39;     390,0;;       228;       251;
        40;     400,0;;       228;       248;
        41;     410,0;;       228;       245;
        42;     420,0;;       228;       243;
        43;     430,0;;       228;       241;
        44;     440,0;;       228;       238;
        45;     450,0;;       228;       237;
        46;     460,0;;       228;       236;
        47;     470,0;;       228;       234;
        48;     480,0;;       228;       232;
        49;     490,0;;       228;       231;
        50;     500,0;;       228;       230;
        51;     510,0;;       228;       230;
        52;     520,0;;       228;       228;
        53;     530,0;;       228;       228;
        54;     540,0;;       228;       227;
        55;     550,0;;       228;       227;
        56;     560,0;;       228;       226;
        57;     570,0;;       228;       225;
        58;     580,0;;       228;       225;
        59;     590,0;;       228;       225;
        60;     600,0;;       228;       225;
        61;     610,0;;       228;       225;
        62;     620,0;;       228;       224;
        63;     630,0;;       228;       224;
        64;     640,0;;       228;       224;
        65;     650,0;;       228;       224;
        66;     660,0;;       228;       224;
        67;     670,0;;       228;       224;
        68;     680,0;;       228;       224;
        69;     690,0;;       228;       224;
        70;     700,0;;       228;       224;
        71;     710,0;;       228;       224;
        72;     720,0;;       228;       224;
        73;     730,0;;       228;       224;
        74;     740,0;;       228;       224;
        75;     750,0;;       228;       224;
        76;     760,0;;       228;       224;
        77;     770,0;;       228;       224;
        78;     780,0;;       228;       224;
        79;     790,0;;       228;       224;
        80;     800,0;;       228;       224;
        81;     810,0;;       228;       224;
        82;     820,0;;       228;       224;
        83;     830,0;;       228;       224;
        84;     840,0;;       228;       224;
        85;     850,0;;       228;       224;
        86;     860,0;;       228;       224;
        87;     870,0;;       228;       224;
        88;     880,0;;       228;       224;
        89;     890,0;;       228;       224;
        90;     900,0;;       228;       224;
        91;     910,0;;       228;       224;
        92;     920,0;;       228;       224;
        93;     930,0;;       228;       224;
        94;     940,0;;       228;       224;
        95;     950,0;;       228;       224;
        96;     960,0;;       228;       224;
        97;     970,0;;       228;       224;
        98;     980,0;;       228;       224;
        99;     990,0;;       228;       224;
       100;    1000,0;;       228;       224;
       101;    1010,0;;       228;       224;
       102;    1020,0;;       228;       224;
       103;    1030,0;;       228;       224;
       104;    1040,0;;       228;       224;
       105;    1050,0;;       228;       224;
       106;    1060,0;;       228;       224;
       107;    1070,0;;       228;       224;
       108;    1080,0;;       228;       224;
       109;    1090,0;;       228;       224;
       110;    1100,0;;       228;       224;
       111;    1110,0;;       228;       224;
       112;    1120,0;;       228;       224;
       113;    1130,0;;       228;       224;
       114;    1140,0;;       228;       224;
       115;    1150,0;;       228;       224;
       116;    1160,0;;       228;       224;
       117;    1170,0;;       228;       224;
       118;    1180,0;;       228;       224;
       119;    1190,0;;       228;       224;
       120;    1200,0;;       228;       224;
       121;    1210,0;;       228;       224;
       122;    1220,0;;       228;       224;
       123;    1230,0;;       228;       224;
       124;    1240,0;;       228;       224;
       125;    1250,0;;       228;       224;
       126;    1260,0;;       228;       224;
       127;    1270,0;;       228;       225;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;1000;1000;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

