FICHIER :;c:\Users\labo_psi\Desktop\Echelon_60deg_I_H.eposacq
Date :;26/03/2026
Heure :;13:17:21

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en POSITION avec échelon de 60.0 °.
102 mesures avec période de 10.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en POSITION : Echelon de 60.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 Réponse :
 Ecart de position : -0.26° (-6 qc)
 1er dépassement :   7.6 % à 430.0 ms
 Temps de réponse à 5% : 530.0 ms

MESURES :
Index;Temps;;Consigne de Position;Position Axe;Courant Moteur;
;ms;;qc;qc;mA;
         0;       0,0;;        75;         1;      3721;
         1;      10,0;;       168;         8;      4265;
         2;      20,0;;       261;        18;      4282;
         3;      30,0;;       355;        33;      4290;
         4;      40,0;;       448;        51;      4283;
         5;      50,0;;       542;        73;      4296;
         6;      60,0;;       635;        98;      4289;
         7;      70,0;;       728;       124;      4298;
         8;      80,0;;       822;       153;      4294;
         9;      90,0;;       915;       184;      4288;
        10;     100,0;;      1009;       216;      4286;
        11;     110,0;;      1102;       250;      4292;
        12;     120,0;;      1195;       286;      4294;
        13;     130,0;;      1289;       324;      4298;
        14;     140,0;;      1365;       361;      4288;
        15;     150,0;;      1365;       401;      4295;
        16;     160,0;;      1365;       442;      4287;
        17;     170,0;;      1365;       484;      4290;
        18;     180,0;;      1365;       528;      4287;
        19;     190,0;;      1365;       572;      4297;
        20;     200,0;;      1365;       617;      4301;
        21;     210,0;;      1365;       662;      4293;
        22;     220,0;;      1365;       709;      4299;
        23;     230,0;;      1365;       756;      4293;
        24;     240,0;;      1365;       805;      4294;
        25;     250,0;;      1365;       853;      4302;
        26;     260,0;;      1365;       901;      4297;
        27;     270,0;;      1365;       950;      4304;
        28;     280,0;;      1365;       999;      4293;
        29;     290,0;;      1365;      1047;      4296;
        30;     300,0;;      1365;      1096;      4293;
        31;     310,0;;      1365;      1145;      4299;
        32;     320,0;;      1365;      1195;      4248;
        33;     330,0;;      1365;      1244;      2748;
        34;     340,0;;      1365;      1290;      1008;
        35;     350,0;;      1365;      1333;      -302;
        36;     360,0;;      1365;      1369;     -1085;
        37;     370,0;;      1365;      1399;     -1421;
        38;     380,0;;      1365;      1423;     -1808;
        39;     390,0;;      1365;      1439;     -1723;
        40;     400,0;;      1365;      1451;     -1800;
        41;     410,0;;      1365;      1458;     -1574;
        42;     420,0;;      1365;      1461;     -1399;
        43;     430,0;;      1365;      1462;     -1312;
        44;     440,0;;      1365;      1462;     -1462;
        45;     450,0;;      1365;      1462;     -1725;
        46;     460,0;;      1365;      1458;     -1482;
        47;     470,0;;      1365;      1454;     -1455;
        48;     480,0;;      1365;      1450;     -1321;
        49;     490,0;;      1365;      1445;     -1381;
        50;     500,0;;      1365;      1440;     -1359;
        51;     510,0;;      1365;      1435;     -1351;
        52;     520,0;;      1365;      1430;     -1386;
        53;     530,0;;      1365;      1425;     -1232;
        54;     540,0;;      1365;      1420;     -1262;
        55;     550,0;;      1365;      1414;     -1220;
        56;     560,0;;      1365;      1410;     -1174;
        57;     570,0;;      1365;      1405;     -1074;
        58;     580,0;;      1365;      1400;      -940;
        59;     590,0;;      1365;      1396;      -992;
        60;     600,0;;      1365;      1392;      -924;
        61;     610,0;;      1365;      1388;      -844;
        62;     620,0;;      1365;      1385;      -832;
        63;     630,0;;      1365;      1381;      -787;
        64;     640,0;;      1365;      1379;      -772;
        65;     650,0;;      1365;      1376;      -714;
        66;     660,0;;      1365;      1374;      -734;
        67;     670,0;;      1365;      1372;      -729;
        68;     680,0;;      1365;      1370;      -622;
        69;     690,0;;      1365;      1369;      -612;
        70;     700,0;;      1365;      1367;      -554;
        71;     710,0;;      1365;      1366;      -549;
        72;     720,0;;      1365;      1364;      -409;
        73;     730,0;;      1365;      1363;      -425;
        74;     740,0;;      1365;      1362;      -416;
        75;     750,0;;      1365;      1362;      -505;
        76;     760,0;;      1365;      1361;      -367;
        77;     770,0;;      1365;      1360;      -402;
        78;     780,0;;      1365;      1360;      -377;
        79;     790,0;;      1365;      1360;      -418;
        80;     800,0;;      1365;      1360;      -408;
        81;     810,0;;      1365;      1360;      -395;
        82;     820,0;;      1365;      1360;      -380;
        83;     830,0;;      1365;      1360;      -366;
        84;     840,0;;      1365;      1359;      -159;
        85;     850,0;;      1365;      1359;      -267;
        86;     860,0;;      1365;      1359;      -272;
        87;     870,0;;      1365;      1359;      -256;
        88;     880,0;;      1365;      1359;      -239;
        89;     890,0;;      1365;      1359;      -222;
        90;     900,0;;      1365;      1359;      -205;
        91;     910,0;;      1365;      1359;      -187;
        92;     920,0;;      1365;      1359;      -170;
        93;     930,0;;      1365;      1359;      -153;
        94;     940,0;;      1365;      1359;      -136;
        95;     950,0;;      1365;      1359;      -119;
        96;     960,0;;      1365;      1359;      -102;
        97;     970,0;;      1365;      1359;       -84;
        98;     980,0;;      1365;      1359;       -68;
        99;     990,0;;      1365;      1359;       -50;
       100;    1000,0;;      1365;      1359;       -33;
       101;    1010,0;;      1365;      1359;       -16;

Paramètre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;1000;1000;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

