FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_H_Trapeze_I_tachy.eposacq
Date :;24/03/2026
Heure :;16:36:51

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
         0;       0,0;;         5;       358;
         1;       8,0;;         5;       358;
         2;      16,0;;         5;       358;
         3;      24,0;;         4;       358;
         4;      32,0;;         4;       358;
         5;      40,0;;         5;       358;
         6;      48,0;;         5;       358;
         7;      56,0;;         4;       358;
         8;      64,0;;         4;       358;
         9;      72,0;;         5;       358;
        10;      80,0;;         5;       358;
        11;      88,0;;         5;       358;
        12;      96,0;;         3;       358;
        13;     104,0;;         4;       358;
        14;     112,0;;         5;       358;
        15;     120,0;;         5;       358;
        16;     128,0;;         3;       358;
        17;     136,0;;         5;       358;
        18;     144,0;;         4;       358;
        19;     152,0;;         3;       358;
        20;     160,0;;         4;       358;
        21;     168,0;;         5;       358;
        22;     176,0;;         5;       358;
        23;     184,0;;         5;       358;
        24;     192,0;;         4;       358;
        25;     200,0;;         4;       359;
        26;     208,0;;         4;       365;
        27;     216,0;;         4;       377;
        28;     224,0;;         6;       396;
        29;     232,0;;         3;       459;
        30;     240,0;;         5;       505;
        31;     248,0;;         6;       589;
        32;     256,0;;         7;       685;
        33;     264,0;;        14;       812;
        34;     272,0;;        23;       948;
        35;     280,0;;        26;      1134;
        36;     288,0;;        37;      1152;
        37;     296,0;;        61;      1320;
        38;     304,0;;        67;      1378;
        39;     312,0;;        86;      1499;
        40;     320,0;;       107;      1591;
        41;     328,0;;       133;      1726;
        42;     336,0;;       146;      1809;
        43;     344,0;;       176;      1923;
        44;     352,0;;       202;      2031;
        45;     360,0;;       223;      2187;
        46;     368,0;;       241;      2165;
        47;     376,0;;       287;      2436;
        48;     384,0;;       300;      2515;
        49;     392,0;;       332;      2574;
        50;     400,0;;       369;      2650;
        51;     408,0;;       387;      2777;
        52;     416,0;;       428;      2846;
        53;     424,0;;       468;      2827;
        54;     432,0;;       508;      2929;
        55;     440,0;;       540;      2969;
        56;     448,0;;       607;      3036;
        57;     456,0;;       618;      3082;
        58;     464,0;;       654;      2968;
        59;     472,0;;       702;      3096;
        60;     480,0;;       725;      3132;
        61;     488,0;;       781;      3078;
        62;     496,0;;       842;      3188;
        63;     504,0;;       837;      3134;
        64;     512,0;;       899;      3032;
        65;     520,0;;       939;      3103;
        66;     528,0;;       953;      3042;
        67;     536,0;;      1018;      3106;
        68;     544,0;;      1027;      3016;
        69;     552,0;;      1053;      2978;
        70;     560,0;;      1096;      2983;
        71;     568,0;;      1125;      2908;
        72;     576,0;;      1136;      2936;
        73;     584,0;;      1164;      2754;
        74;     592,0;;      1216;      2807;
        75;     600,0;;      1241;      2897;
        76;     608,0;;      1242;      2770;
        77;     616,0;;      1270;      2620;
        78;     624,0;;      1255;      2607;
        79;     632,0;;      1338;      2606;
        80;     640,0;;      1318;      2653;
        81;     648,0;;      1321;      2586;
        82;     656,0;;      1323;      2444;
        83;     664,0;;      1357;      2429;
        84;     672,0;;      1367;      2466;
        85;     680,0;;      1351;      2384;
        86;     688,0;;      1367;      2375;
        87;     696,0;;      1366;      2389;
        88;     704,0;;      1361;      2439;
        89;     712,0;;      1378;      2376;
        90;     720,0;;      1378;      2469;
        91;     728,0;;      1380;      2498;
        92;     736,0;;      1368;      2499;
        93;     744,0;;      1389;      2601;
        94;     752,0;;      1404;      2554;
        95;     760,0;;      1417;      2597;
        96;     768,0;;      1397;      2757;
        97;     776,0;;      1401;      2735;
        98;     784,0;;      1428;      2768;
        99;     792,0;;      1417;      2817;
       100;     800,0;;      1458;      2887;
       101;     808,0;;      1462;      2854;
       102;     816,0;;      1461;      2926;
       103;     824,0;;      1460;      2825;
       104;     832,0;;      1500;      3053;
       105;     840,0;;      1515;      2968;
