FICHIER :;c:\Users\xavier.pessoles2\Desktop\RC4_XP\01\01_BD.eposacq
Date :;22/03/2023
Heure :;10:41:26

DESCRIPTION :
ACQUISITION AXE 3 : Enrouleur BD
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 15.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     33714;     33714;         0;
         1;      15,0;;     33714;     33714;         0;
         2;      30,0;;     33714;     33714;         0;
         3;      45,0;;     33714;     33714;         0;
         4;      60,0;;     33714;     33714;         0;
         5;      75,0;;     33714;     33714;         0;
         6;      90,0;;     33714;     33714;         0;
         7;     105,0;;     33714;     33714;         0;
         8;     120,0;;     33704;     33714;       -11;
         9;     135,0;;     33671;     33710;       -22;
        10;     150,0;;     33613;     33671;       -35;
        11;     165,0;;     33530;     33597;       -46;
        12;     180,0;;     33425;     33494;       -57;
        13;     195,0;;     33298;     33364;       -67;
        14;     210,0;;     33152;     33216;       -76;
        15;     225,0;;     32988;     33047;       -84;
        16;     240,0;;     32808;     32858;       -92;
        17;     255,0;;     32612;     32656;       -99;
        18;     270,0;;     32405;     32443;      -103;
        19;     285,0;;     32190;     32224;      -106;
        20;     300,0;;     31971;     32000;      -108;
        21;     315,0;;     31753;     31780;      -104;
        22;     330,0;;     31552;     31573;       -94;
        23;     345,0;;     31368;     31383;       -85;
        24;     360,0;;     31204;     31212;       -75;
        25;     375,0;;     31060;     31063;       -66;
        26;     390,0;;     30935;     30936;       -56;
        27;     405,0;;     30830;     30828;       -47;
        28;     420,0;;     30744;     30743;       -37;
        29;     435,0;;     30678;     30676;       -27;
        30;     450,0;;     30632;     30632;       -18;
        31;     465,0;;     30606;     30608;        -8;
        32;     480,0;;     30599;     30601;         2;
        33;     495,0;;     30613;     30601;        11;
        34;     510,0;;     30646;     30604;        21;
        35;     525,0;;     30700;     30631;        31;
        36;     540,0;;     30774;     30702;        41;
        37;     555,0;;     30867;     30805;        51;
        38;     570,0;;     30981;     30915;        61;
        39;     585,0;;     31115;     31053;        70;
        40;     600,0;;     31269;     31219;        80;
        41;     615,0;;     31443;     31391;        89;
        42;     630,0;;     31635;     31587;        99;
        43;     645,0;;     31846;     31795;       107;
        44;     660,0;;     32075;     32036;       116;
        45;     675,0;;     32322;     32301;       125;
        46;     690,0;;     32586;     32561;       133;
        47;     705,0;;     32867;     32841;       141;
        48;     720,0;;     33164;     33144;       149;
        49;     735,0;;     33477;     33458;       157;
        50;     750,0;;     33805;     33790;       164;
        51;     765,0;;     34149;     34137;       172;
        52;     780,0;;     34508;     34495;       179;
        53;     795,0;;     34880;     34872;       185;
        54;     810,0;;     35267;     35259;       192;
        55;     825,0;;     35666;     35658;       198;
        56;     840,0;;     36079;     36068;       205;
        57;     855,0;;     36504;     36493;       211;
        58;     870,0;;     36941;     36929;       217;
        59;     885,0;;     37391;     37377;       222;
        60;     900,0;;     37839;     37824;       213;
        61;     915,0;;     38264;     38248;       201;
        62;     930,0;;     38661;     38638;       187;
        63;     945,0;;     39028;     39010;       172;
        64;     960,0;;     39364;     39342;       156;
        65;     975,0;;     39665;     39643;       139;
        66;     990,0;;     39931;     39914;       121;
        67;    1005,0;;     40161;     40132;       103;
        68;    1020,0;;     40354;     40348;        86;
        69;    1035,0;;     40511;     40504;        67;
        70;    1050,0;;     40630;     40624;        49;
        71;    1065,0;;     40711;     40712;        30;
        72;    1080,0;;     40754;     40759;        11;
        73;    1095,0;;     40761;     40769;         0;
        74;    1110,0;;     40761;     40769;         0;
        75;    1125,0;;     40761;     40769;         0;
        76;    1140,0;;     40761;     40769;         0;
        77;    1155,0;;     40761;     40770;         0;
        78;    1170,0;;     40761;     40770;         0;
        79;    1185,0;;     40761;     40770;         0;
        80;    1200,0;;     40761;     40770;         0;
        81;    1215,0;;     40761;     40770;         0;
        82;    1230,0;;     40761;     40770;         0;
        83;    1245,0;;     40761;     40770;         0;
        84;    1260,0;;     40761;     40770;         0;

Paramètre AXE :;Enrouleur BD
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

