FICHIER :;c:\Users\xavier.pessoles2\Desktop\RC4_XP\01\01_BG.eposacq
Date :;22/03/2023
Heure :;10:41:14

DESCRIPTION :
ACQUISITION AXE 1 : Enrouleur BG
SOLLICITATION en INTERPOLATION de POSITION (PVT).
85 mesures avec période de 15.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Vitesse;
;ms;;qc;qc;rpm;
         0;       0,0;;     10898;     10898;         0;
         1;      15,0;;     10898;     10898;         0;
         2;      30,0;;     10898;     10898;         0;
         3;      45,0;;     10898;     10898;         0;
         4;      60,0;;     10898;     10898;         0;
         5;      75,0;;     10898;     10898;         0;
         6;      90,0;;     10898;     10898;         0;
         7;     105,0;;     10898;     10898;         0;
         8;     120,0;;     10914;     10906;        22;
         9;     135,0;;     10985;     10966;        49;
        10;     150,0;;     11114;     11083;        78;
        11;     165,0;;     11303;     11260;       107;
        12;     180,0;;     11551;     11506;       136;
        13;     195,0;;     11858;     11816;       164;
        14;     210,0;;     12224;     12181;       193;
        15;     225,0;;     12649;     12606;       222;
        16;     240,0;;     13132;     13089;       250;
        17;     255,0;;     13673;     13632;       279;
        18;     270,0;;     14273;     14228;       307;
        19;     285,0;;     14930;     14880;       335;
        20;     300,0;;     15645;     15592;       363;
        21;     315,0;;     16415;     16362;       383;
        22;     330,0;;     17197;     17152;       381;
        23;     345,0;;     17979;     17941;       382;
        24;     360,0;;     18761;     18730;       382;
        25;     375,0;;     19543;     19514;       382;
        26;     390,0;;     20324;     20294;       382;
        27;     405,0;;     21106;     21072;       382;
        28;     420,0;;     21888;     21853;       382;
        29;     435,0;;     22669;     22630;       382;
        30;     450,0;;     23451;     23410;       382;
        31;     465,0;;     24232;     24191;       382;
        32;     480,0;;     25014;     24971;       382;
        33;     495,0;;     25795;     25752;       382;
        34;     510,0;;     26577;     26534;       382;
        35;     525,0;;     27359;     27317;       382;
        36;     540,0;;     28140;     28100;       382;
        37;     555,0;;     28922;     28880;       382;
        38;     570,0;;     29705;     29662;       382;
        39;     585,0;;     30487;     30447;       382;
        40;     600,0;;     31269;     31226;       382;
        41;     615,0;;     32051;     32007;       382;
        42;     630,0;;     32833;     32784;       382;
        43;     645,0;;     33615;     33570;       382;
        44;     660,0;;     34397;     34351;       382;
        45;     675,0;;     35179;     35135;       382;
        46;     690,0;;     35961;     35918;       382;
        47;     705,0;;     36743;     36695;       382;
        48;     720,0;;     37524;     37462;       382;
        49;     735,0;;     38306;     38277;       382;
        50;     750,0;;     39088;     39049;       382;
        51;     765,0;;     39870;     39810;       382;
        52;     780,0;;     40652;     40617;       382;
        53;     795,0;;     41434;     41358;       382;
        54;     810,0;;     42216;     42200;       382;
        55;     825,0;;     42999;     42940;       382;
        56;     840,0;;     43781;     43749;       382;
        57;     855,0;;     44563;     44523;       382;
        58;     870,0;;     45345;     45297;       382;
        59;     885,0;;     46127;     46102;       382;
        60;     900,0;;     46896;     46851;       363;
        61;     915,0;;     47611;     47559;       335;
        62;     930,0;;     48268;     48274;       306;
        63;     945,0;;     48865;     48833;       277;
        64;     960,0;;     49403;     49394;       248;
        65;     975,0;;     49881;     49870;       219;
        66;     990,0;;     50301;     50288;       190;
        67;    1005,0;;     50662;     50653;       162;
        68;    1020,0;;     50964;     50959;       133;
        69;    1035,0;;     51208;     51204;       105;
        70;    1050,0;;     51393;     51393;        77;
        71;    1065,0;;     51521;     51522;        48;
        72;    1080,0;;     51592;     51595;        20;
        73;    1095,0;;     51606;     51613;         0;
        74;    1110,0;;     51606;     51613;         0;
        75;    1125,0;;     51606;     51613;         0;
        76;    1140,0;;     51606;     51613;         0;
        77;    1155,0;;     51606;     51613;         0;
        78;    1170,0;;     51606;     51613;         0;
        79;    1185,0;;     51606;     51614;         0;
        80;    1200,0;;     51606;     51614;         0;
        81;    1215,0;;     51606;     51614;         0;
        82;    1230,0;;     51606;     51614;         0;
        83;    1245,0;;     51606;     51614;         0;
        84;    1260,0;;     51606;     51614;         0;

Paramètre AXE :;Enrouleur BG
PID AXE :;KP;KI;KD;KV;KA
Position :;215;270;920;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;556;rpm

