FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Cour_500mA.eposacq
Date :;02/04/2026
Heure :;11:34:38

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en COURANT avec consigne de 500 mA.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en COURANT : Consigne de 500 mA
 PI Courant : KP = 1000 | KI = 1000
 

MESURES :
Index;Temps;;Consigne de Courant;Courant Moteur;Position Axe;Vitesse Axe;
;ms;;mA;mA;qc;rpm;
         0;       0,0;;         0;         0;   2448845;         0;
         1;      10,0;;         0;         0;   2448845;         0;
         2;      20,0;;         0;         0;   2448845;         0;
         3;      30,0;;         0;         0;   2448845;         0;
         4;      40,0;;         0;         0;   2448845;         0;
         5;      50,0;;         0;         0;   2448845;         0;
         6;      60,0;;         0;         0;   2448845;         0;
         7;      70,0;;         0;         0;   2448845;         0;
         8;      80,0;;       500;       124;   2448846;         0;
         9;      90,0;;       500;       479;   2448968;        87;
        10;     100,0;;       500;       496;   2449285;       306;
        11;     110,0;;       500;       493;   2449787;       614;
        12;     120,0;;       500;       495;   2450475;       986;
        13;     130,0;;       500;       498;   2451352;      1407;
        14;     140,0;;       500;       496;   2452410;      1859;
        15;     150,0;;       500;       498;   2453648;      2329;
        16;     160,0;;       500;       500;   2455068;      2819;
        17;     170,0;;       500;       496;   2456667;      3317;
        18;     180,0;;       500;       496;   2458447;      3823;
        19;     190,0;;       500;       498;   2460385;      4319;
        20;     200,0;;       500;       500;   2462483;      4807;
        21;     210,0;;       500;       493;   2464745;      5297;
        22;     220,0;;       500;       498;   2467164;      5773;
        23;     230,0;;       500;       421;   2469720;      6234;
        24;     240,0;;       500;       273;   2472350;      6632;
        25;     250,0;;       500;       251;   2474994;      6938;
        26;     260,0;;       500;       237;   2477638;      7158;
        27;     270,0;;       500;       225;   2480288;      7321;
        28;     280,0;;       500;       202;   2482951;      7450;
        29;     290,0;;       500;       202;   2485607;      7540;
        30;     300,0;;       500;       234;   2488262;      7606;
        31;     310,0;;       500;       173;   2490919;      7655;
        32;     320,0;;       500;       202;   2493574;      7690;
        33;     330,0;;       500;       228;   2496236;      7717;
        34;     340,0;;       500;       190;   2498902;      7741;
        35;     350,0;;       500;       206;   2501563;      7757;
        36;     360,0;;       500;       215;   2504219;      7765;
        37;     370,0;;       500;       232;   2506875;      7771;
        38;     380,0;;       500;       240;   2509528;      7770;
        39;     390,0;;       500;       182;   2512184;      7771;
        40;     400,0;;       500;       206;   2514847;      7779;
        41;     410,0;;       500;       198;   2517508;      7785;
        42;     420,0;;       500;       190;   2520169;      7790;
        43;     430,0;;       500;       223;   2522833;      7792;
        44;     440,0;;       500;       202;   2525493;      7792;
        45;     450,0;;       500;       208;   2528153;      7792;
        46;     460,0;;       500;       202;   2530812;      7793;
        47;     470,0;;       500;       200;   2533472;      7794;
        48;     480,0;;       500;       222;   2536126;      7787;
        49;     490,0;;       500;       203;   2538773;      7778;
        50;     500,0;;       500;       227;   2541418;      7769;
        51;     510,0;;       500;       212;   2544067;      7767;
        52;     520,0;;       500;       187;   2546727;      7777;
        53;     530,0;;       500;       198;   2549389;      7782;
        54;     540,0;;       500;       197;   2552051;      7785;
        55;     550,0;;       500;       202;   2554716;      7789;
        56;     560,0;;       500;       204;   2557372;      7789;
        57;     570,0;;       500;       218;   2560031;      7791;
        58;     580,0;;       500;       221;   2562691;      7791;
        59;     590,0;;       500;       200;   2565347;      7788;
        60;     600,0;;       500;       234;   2567999;      7782;
        61;     610,0;;       500;       226;   2570647;      7776;
        62;     620,0;;       500;       244;   2573289;      7767;
        63;     630,0;;       500;       208;   2575935;      7764;
        64;     640,0;;       500;       211;   2578592;      7769;
        65;     650,0;;       500;       214;   2581253;      7774;
        66;     660,0;;       500;       188;   2583908;      7775;
        67;     670,0;;       500;       209;   2586564;      7778;
        68;     680,0;;       500;       199;   2589217;      7777;
        69;     690,0;;       500;       191;   2591877;      7781;
        70;     700,0;;       500;       210;   2594540;      7786;
        71;     710,0;;       500;       208;   2597195;      7783;
        72;     720,0;;       500;       207;   2599851;      7784;
        73;     730,0;;       500;       212;   2602503;      7781;
        74;     740,0;;       500;       234;   2605149;      7774;
        75;     750,0;;       500;       224;   2607799;      7769;
        76;     760,0;;       500;       185;   2610454;      7771;
        77;     770,0;;       500;       226;   2613109;      7773;
        78;     780,0;;       500;       203;   2615763;      7774;
        79;     790,0;;       500;       193;   2618420;      7779;
        80;     800,0;;       500;       216;   2621074;      7778;
        81;     810,0;;       500;       206;   2623732;      7778;
        82;     820,0;;       500;       214;   2626392;      7780;
        83;     830,0;;       500;       196;   2629041;      7778;
        84;     840,0;;       500;       217;   2631691;      7775;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

