FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Vit_5000mm.eposacq
Date :;02/04/2026
Heure :;13:55:00

DESCRIPTION :
ACQUISITION AXE 1 : Axe linéaire
SOLLICITATION en VITESSE avec consigne de 5000 rpm.
85 mesures avec période de 10.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en VITESSE : Consigne de 5000 rpm
 PI Vitesse : KP = 470 | KI = 90
 

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Axe;Consigne de Courant;Courant Moteur;
;ms;;rpm;rpm;mA;mA;
         0;       0,0;;         0;         0;       -36;       -36;
         1;      10,0;;         0;         0;       -36;       -36;
         2;      20,0;;         0;         0;       -36;       -36;
         3;      30,0;;         0;         0;       -36;       -36;
         4;      40,0;;         0;         0;       -36;       -36;
         5;      50,0;;         0;         0;       -36;       -36;
         6;      60,0;;         0;         0;       -36;       -36;
         7;      70,0;;         0;         0;       -36;       -36;
         8;      80,0;;      5000;         0;      1200;        27;
         9;      90,0;;      5000;       246;      1200;      1139;
        10;     100,0;;      5000;       886;      1200;      1187;
        11;     110,0;;      5000;      1798;      1200;      1186;
        12;     120,0;;      5000;      2834;       152;       454;
        13;     130,0;;      5000;      3627;       -24;        -5;
        14;     140,0;;      5000;      4122;        42;         8;
        15;     150,0;;      5000;      4420;       109;        86;
        16;     160,0;;      5000;      4606;       123;       128;
        17;     170,0;;      5000;      4723;       186;       155;
        18;     180,0;;      5000;      4803;       162;       175;
        19;     190,0;;      5000;      4858;       176;       179;
        20;     200,0;;      5000;      4901;       172;       153;
        21;     210,0;;      5000;      4934;       143;       151;
        22;     220,0;;      5000;      4950;       165;       172;
        23;     230,0;;      5000;      4959;       215;       177;
        24;     240,0;;      5000;      4968;       163;       191;
        25;     250,0;;      5000;      4978;       155;       175;
        26;     260,0;;      5000;      4991;       141;       139;
        27;     270,0;;      5000;      5001;       117;       137;
        28;     280,0;;      5000;      5001;       143;       148;
        29;     290,0;;      5000;      4998;       180;       153;
        30;     300,0;;      5000;      5002;       119;       154;
        31;     310,0;;      5000;      5001;       141;       151;
        32;     320,0;;      5000;      4998;       190;       152;
        33;     330,0;;      5000;      4996;       154;       174;
        34;     340,0;;      5000;      4995;       158;       170;
        35;     350,0;;      5000;      4996;       185;       155;
        36;     360,0;;      5000;      4998;       148;       166;
        37;     370,0;;      5000;      4996;       165;       177;
        38;     380,0;;      5000;      4997;       170;       159;
        39;     390,0;;      5000;      5003;       126;       149;
        40;     400,0;;      5000;      5002;       161;       152;
        41;     410,0;;      5000;      4997;       205;       164;
        42;     420,0;;      5000;      4995;       173;       186;
        43;     430,0;;      5000;      4995;       165;       180;
        44;     440,0;;      5000;      5000;       162;       150;
        45;     450,0;;      5000;      5008;       125;       131;
        46;     460,0;;      5000;      5008;       136;       139;
        47;     470,0;;      5000;      5003;       179;       152;
        48;     480,0;;      5000;      5002;       132;       168;
        49;     490,0;;      5000;      5001;       146;       158;
        50;     500,0;;      5000;      5002;       170;       140;
        51;     510,0;;      5000;      5003;       141;       154;
        52;     520,0;;      5000;      4997;       165;       164;
        53;     530,0;;      5000;      4995;       182;       164;
        54;     540,0;;      5000;      4998;       148;       169;
        55;     550,0;;      5000;      4995;       167;       177;
        56;     560,0;;      5000;      4993;       206;       177;
        57;     570,0;;      5000;      4998;       136;       169;
        58;     580,0;;      5000;      5003;       131;       145;
        59;     590,0;;      5000;      5001;       191;       154;
        60;     600,0;;      5000;      5000;       148;       173;
        61;     610,0;;      5000;      4997;       182;       177;
        62;     620,0;;      5000;      4999;       177;       152;
        63;     630,0;;      5000;      5006;       105;       146;
        64;     640,0;;      5000;      5011;       108;       123;
        65;     650,0;;      5000;      5008;       168;       134;
        66;     660,0;;      5000;      5007;       126;       147;
        67;     670,0;;      5000;      5002;       145;       156;
        68;     680,0;;      5000;      5003;       153;       139;
        69;     690,0;;      5000;      5005;       116;       142;
        70;     700,0;;      5000;      5000;       162;       153;
        71;     710,0;;      5000;      4994;       187;       164;
        72;     720,0;;      5000;      4997;       137;       158;
        73;     730,0;;      5000;      4996;       159;       170;
        74;     740,0;;      5000;      4992;       197;       175;
        75;     750,0;;      5000;      4994;       157;       173;
        76;     760,0;;      5000;      4998;       134;       154;
        77;     770,0;;      5000;      4999;       180;       152;
        78;     780,0;;      5000;      4999;       147;       167;
        79;     790,0;;      5000;      4997;       165;       178;
        80;     800,0;;      5000;      4993;       210;       177;
        81;     810,0;;      5000;      5000;       132;       161;
        82;     820,0;;      5000;      5007;       117;       130;
        83;     830,0;;      5000;      5008;       154;       131;
        84;     840,0;;      5000;      5009;       115;       147;

Paramètre AXE :;Axe linéaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

